key,english,yoruba,igbo_DRAFT,pidgin_DRAFT,reviewer_notes
signin,Sign in,Wọlé,Banye,Sign in,
signout,Sign out,Jáde,Puo,Comot,
back,Back,Padà,Laghachi,Go back,
nav_overview,Overview,Ìsọníṣókí,Nchikota,Overview,
nav_system,The system,Ètò náà,Usoro ahu,How e dey work,
nav_impact,Impact,Ipa,Mmetuta,Why e matter,
nav_fees,Fees,Owó,Ugwo,Money matter,
nav_verify,Verify,Ṣàyẹ̀wò,Nyochaa,Check am,
nav_testing,My testing,Àyẹ̀wò mi,Nnwale m,My test,
nav_queue,Laboratory queue,Àkọ́sílẹ̀ ilé-ìwádìí,Kwu ulo nyocha,Lab queue,
nav_team,My team,Àwọn òṣìṣẹ́ mi,Ndi otu m,My people,
nav_water,Water testing,Àyẹ̀wò omi,Nnwale mmiri,Water test,
nav_review,Review,Àtúnyẹ̀wò,Nyocha,Review,
nav_certificates,Certificates,Ìwé-ẹ̀rí,Asambodo,Certificate,
nav_analytics,Analytics,Ìṣirò,Nyocha data,Report,
nav_audit,Audit trail,Àkọsílẹ̀ ìṣàkóso,Ndeko omume,Audit trail,
nav_enforcement,Enforcement,Ìmúṣẹ,Mmanye iwu,Enforcement,
nav_accreditation,Accreditation,Ìfọwọ́sí,Nkwenye,Accreditation,
nav_ledger,Escrow ledger,Ìwé-owó ìṣúra,Akwukwo ego escrow,Escrow ledger,
nav_releases,Releases,Ìtúsílẹ̀,Nhapu ego,Release,
nav_fund,Fund,Owó-ìṣúra,Ego,Fund,
nav_reconcile,Reconciliation,Ìbámu,Nkweko akaunti,Reconciliation,
hero_eyebrow,"Statewide, live compliance",Ìbámu tí ń lọ lọ́wọ́ kákiri ìpínlẹ̀,"Na steeti niile, nrube isi ndu","Everywhere for Lagos, live compliance",
hero_title,"Every plate in Lagos, backed by a verified food handler.","Gbogbo àwo oúnjẹ ní Èkó, pẹ̀lú olùtọ́jú oúnjẹ tí a ti ṣàyẹ̀wò.","Efere obula na Lagos, nwere onye na-ejikwa nri e nyochara.","Every plate for Lagos, na food handler wey dem don check dey behind am.",
